Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4fNfmXz0R3okY3dlvYqzeN,"Whispering Leaves","QuietPath Vol.2","So.Lo,Goson",2024-02-19,164624,31,false,,2025-02-05T13:57:16Z,"lo-fi,lo-fi hip hop,lo-fi beats","Lofi Records",0.675,0.337,7,-13.109,0,0.0364,0.53,0.909,0.111,0.11,136.005,4
spotify:track:7wYCva1bI1AkHRQoVXhy8F,"Crave","This Is Why","Paramore",2023-02-10,235012,59,false,,2025-01-28T07:24:41Z,"pop punk,emo","Atlantic Records",0.667,0.688,11,-7.206,1,0.0313,0.00716,0.000275,0.167,0.339,131.018,4
spotify:track:6gPRW9AsBJvon7qeZHdoO0,"Rain Clouds","The Arcadian Wild","The Arcadian Wild",2015-08-26,298106,45,false,,2025-01-22T06:52:12Z,"christian folk","Duetti",0.657,0.44,5,-7.728,1,0.028,0.83,0.000889,0.089,0.445,102.938,4
spotify:track:3KtJaXdzJS6Y68GyGgs4gX,"Oizys","Oizys","Mac Glocky",2022-10-31,229879,36,false,,2025-01-10T09:18:28Z,"shoegaze","Rocky Frost Records",0.591,0.83,0,-5.874,1,0.0314,0.00207,0.0000335,0.187,0.689,166.113,4
spotify:track:3NKfDFgunesnUPIfpa5QKR,"Higher","Higher","haer",2024-10-11,171515,10,false,,2025-01-05T22:35:58Z,"","WHEREDIDIGO Records",0.749,0.456,2,-9.342,1,0.037,0.3,0.00000726,0.165,0.45,104.052,4
spotify:track:3QPwjDwTJ41nnCbdCAoXl5,"Carousel","Somewhere. Nowhere.","Kupla",2023-11-13,159409,27,false,,2025-01-05T22:15:44Z,"lo-fi hip hop,lo-fi,lo-fi beats","Lofi Records",0.723,0.394,1,-10.537,1,0.0803,0.684,0.5,0.107,0.362,145.974,4
spotify:track:2UVbBKQOdFAekPTRsnkzcf,"Stir Fry","Culture II","Migos",2018-01-26,190288,73,true,,2024-12-27T17:14:56Z,"trap","Quality Control Music, LLC",0.817,0.816,2,-5.402,1,0.269,0.00263,0,0.159,0.508,181.982,4
spotify:track:0wbnC9AUenxp613TYaJsGK,"Narcos","Culture II","Migos",2018-01-26,255378,66,true,,2024-12-27T14:43:45Z,"trap","Quality Control Music, LLC",0.936,0.585,0,-6.914,1,0.124,0.0142,0,0.132,0.243,124.991,4
spotify:track:4PnMZm9M4OPKWk1WH1tRoT,"Dontyouknow","Vondelpark","Sebastian Kamae,Aylior",2020-04-04,135224,34,false,,2024-12-27T07:25:29Z,"lo-fi hip hop,lo-fi,lo-fi beats","Lofi Records",0.506,0.187,5,-12.943,0,0.39,0.852,0.27,0.124,0.355,83.958,4
spotify:track:6mBuHlac3EHlIhn4WGeVzt,"Flying Away","My Memoir","Elijah Lee,eugenio izzi",2022-01-29,146086,26,false,,2024-12-15T12:06:26Z,"lo-fi hip hop,lo-fi,lo-fi beats","Lofi Records",0.603,0.0911,1,-15.832,1,0.0486,0.973,0.905,0.102,0.185,138.025,4
spotify:track:2RXVCRdSkFbNcQfTjgiDwL,"Tessellate","An Awesome Wave","alt-J",2012-05-28,182666,64,false,,2024-12-11T08:02:35Z,"indie,indie rock","Infectious Music",0.683,0.613,2,-6.48,1,0.0426,0.375,0.0414,0.119,0.43,116.909,4
spotify:track:41Dn8SSSKPWk6gSxxizitT,"Without You","thinking about you","mell-ø",2022-09-29,93793,32,false,,2024-12-08T22:30:12Z,"lo-fi hip hop,lo-fi,lo-fi beats","Lofi Records",0.82,0.407,7,-11.32,1,0.0444,0.621,0.9,0.11,0.548,87.024,4
spotify:track:1DFAVRFF65zqaOUQtLoEtx,"Mean Old Sun","A Cat in the Rain","Turnpike Troubadours",2023-08-25,248706,56,false,,2024-12-05T06:37:31Z,"red dirt,texas country,alt country,outlaw country,country,americana","Bossier City Records",0.485,0.589,0,-7.045,1,0.0274,0.243,0.0000323,0.0614,0.367,78.983,4
spotify:track:0TPe22ufPEWbyKdZMpiwG6,"The Kinda Woman I Like","Cold Beer & Country Music","Zach Top",2024-04-05,158552,64,false,,2024-12-04T08:04:34Z,"country","Leo33",0.556,0.885,7,-4.133,1,0.0464,0.128,0.00236,0.114,0.718,163.031,4
spotify:track:7ITmo5NjVDUngYlNPQTZpk,"Annabel","Fortune Favors the Bold","49 Winchester",2022-05-13,180596,61,false,,2024-12-04T07:49:36Z,"red dirt,country,outlaw country","New West Records",0.697,0.537,7,-7.666,0,0.0441,0.255,0.00000464,0.285,0.512,141.956,4
spotify:track:2kXqLlHRP5uYfPmAnjcM46,"Dirt Turns to Gold","Cold Beer & Country Music","Zach Top",2024-04-05,190518,70,false,,2024-12-04T07:35:34Z,"country","Leo33",0.602,0.773,4,-5.747,1,0.0614,0.649,0.000679,0.116,0.647,82.27,1
